scenario	Stage	group	dwell
1	I	A	4
1	I	B	8
1	I	C	8
1	I	D	10
1	II	A	2
1	II	B	4
1	II	C	2
1	II	D	4
1	III	A	1
1	III	B	2
1	III	C	1
1	III	D	2
1	IV	A	1
1	IV	B	1
1	IV	C	1
1	IV	D	1
2	I	A	3
2	I	B	6
2	I	C	5
2	I	D	7
2	II	A	1.5
2	II	B	3
2	II	C	1.5
2	II	D	3
2	III	A	0.75
2	III	B	1.5
2	III	C	1
2	III	D	1.5
2	IV	A	0.75
2	IV	B	1
2	IV	C	0.75
2	IV	D	1
3	I	A	2
3	I	B	4
3	I	C	2
3	I	D	4
3	II	A	1
3	II	B	2
3	II	C	1
3	II	D	2
3	III	A	0.5
3	III	B	1
3	III	C	1
3	III	D	1
3	IV	A	0.5
3	IV	B	1
3	IV	C	0.5
3	IV	D	1
4	I	A	1.5
4	I	B	1.5
4	I	C	1
4	I	D	2
4	II	A	0.75
4	II	B	0.75
4	II	C	0.5
4	II	D	1
4	III	A	0.5
4	III	B	0.5
4	III	C	0.25
4	III	D	0.5
4	IV	A	0.25
4	IV	B	0.25
4	IV	C	0.25
4	IV	D	0.5
