SEER_Draw	Stage	IR	Survival
Anus	I	1.198718592964824	0.9088
Anus	II	1.8174120603015074	0.8214
Anus	III	1.611180904522613	0.6725
Anus	IV	0.5026884422110552	0.2353
Bladder	I	12.11967168262654	0.8622
Bladder	II	5.499042407660738	0.618
Bladder	III	2.1996169630642957	0.495
Bladder	IV	4.061668946648426	0.1628
Breast	I	90.02061385068171	0.9824
Breast	II	56.13750675716259	0.9286
Breast	III	17.866208180671514	0.7653
Breast	IV	9.925671211484174	0.273
Cervix	I	2.3228347826086955	0.9089
Cervix	II	1.0788521739130434	0.7295
Cervix	III	1.5632347826086956	0.5202
Cervix	IV	1.3650782608695653	0.1835
Colon/Rectum	I	27.063060628985195	0.9378
Colon/Rectum	II	25.472415432832594	0.8396
Colon/Rectum	III	27.416537339241327	0.7082
Colon/Rectum	IV	22.25798659894088	0.1327
Esophagus	I	2.169711627906977	0.5811
Esophagus	II	2.554660465116279	0.3792
Esophagus	III	2.869618604651163	0.226
Esophagus	IV	4.946009302325582	0.0441
Gallbladder	I	1.7997751124437782	0.5271
Gallbladder	II	2.195952023988006	0.2403
Gallbladder	III	0.7244377811094453	0.2129
Gallbladder	IV	2.8298350824587706	0.0215
Head and Neck	I	10.476976177585273	0.8883
Head and Neck	II	5.72213048186248	0.7862
Head and Neck	III	6.95745804006497	0.6851
Head and Neck	IV	19.893435300487276	0.5483
Kidney	I	25.24491264667536	0.9583
Kidney	II	3.3462216427640157	0.8695
Kidney	III	5.591155149934811	0.7654
Kidney	IV	6.427710560625815	0.1411
Liver/Bile-duct	I	9.649957386363637	0.4277
Liver/Bile-duct	II	5.054739583333334	0.3649
Liver/Bile-duct	III	6.172495265151515	0.0875
Liver/Bile-duct	IV	5.352807765151515	0.0201
Lung	I	36.95537139390672	0.6632
Lung	II	7.560301968185494	0.4188
Lung	III	40.16410420598544	0.1986
Lung	IV	78.35022243192235	0.0486
Lymphoma	I	14.524630738522955	0.8527
Lymphoma	II	7.917478376580173	0.7964
Lymphoma	III	9.072341982701264	0.7265
Lymphoma	IV	18.55554890219561	0.6591
Melanoma	I	41.284142328259975	0.9798
Melanoma	II	6.927396133278486	0.8207
Melanoma	III	3.8896544631838754	0.6139
Melanoma	IV	2.398807075277664	0.2083
Ovary	I	4.021857783472133	0.8977
Ovary	II	1.7444202434336962	0.7293
Ovary	III	7.571268417680974	0.409
Ovary	IV	5.572453555413196	0.2178
Pancreas	I	2.350124069478908	0.3735
Pancreas	II	8.781439205955335	0.1439
Pancreas	III	3.0379652605459055	0.0426
Pancreas	IV	18.17047146401985	0.0203
Prostate	I	0.6758687078360145	0.9899
Prostate	II	174.66378463933574	0.9844
Prostate	III	17.218559937727036	0.9764
Prostate	IV	14.171786715101195	0.5556
Sarcoma	I	4.328494623655914	0.8951
Sarcoma	II	2.3204301075268816	0.7464
Sarcoma	III	2.900537634408602	0.5314
Sarcoma	IV	2.900537634408602	0.1245
Stomach	I	5.162117400419287	0.6582
Stomach	II	2.4977987421383645	0.4099
Stomach	III	2.190377358490566	0.2658
Stomach	IV	8.479706498951781	0.0481
Thyroid	I	13.252686112320418	0.9975
Thyroid	II	2.9983935568132347	0.9943
Thyroid	III	5.04711797997388	0.9871
Thyroid	IV	3.211802350892468	0.732
Urothelial Tract	I	1.3112718204488778	0.8442
Urothelial Tract	II	0.612643391521197	0.7246
Urothelial Tract	III	1.1285536159600997	0.5421
Urothelial Tract	IV	1.2575311720698255	0.1536
Uterus	I	28.284374147804744	0.9534
Uterus	II	2.8870466321243526	0.8539
Uterus	III	5.698118352877011	0.6765
Uterus	IV	2.930460867193892	0.1902
Lymphoid Leukemia	NotStaged	17.43	0.8527
Myeloid Neoplasm	NotStaged	14.55	0.4311
Plasma Cell Neoplasm	NotStaged	17.860000000000003	0.5928
[OTHER]	I	4.03	0.8573
[OTHER]	II	2.14	0.705
[OTHER]	III	2.46	0.5399
[OTHER]	IV	2.33	0.199
[OTHER]	NotStaged	59.73	0.4289
